#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
0.2%	10000	-235210.6235936943	297.4335630632044	0
0.4%	20000	-236046.01586664352	302.3755930922653	647
0.6%	30000	-235353.9624608818	300.4621489084586	639
0.8%	40000	-235639.56670892867	301.5207281916659	637
1.0%	50000	-235730.42219293746	302.1159323828449	636
1.2%	60000	-235353.115910894	304.6234937231444	634
1.4%	70000	-234613.86500299606	303.6211226007208	635
1.6%	80000	-235466.13032282027	296.2284951564851	633
1.8%	90000	-234754.15893304977	302.22649144512127	634
2.0%	100000	-234971.44421137008	303.3282636434212	635
2.2%	110000	-235621.28197992477	299.26266638624134	635
2.4%	120000	-234481.14040887984	296.4747677186835	636
2.6%	130000	-235246.3935369316	297.58545352382566	636
2.8%	140000	-234253.20908868941	297.51705079578585	635
3.0%	150000	-235487.71600092086	301.46471312999495	635
3.2%	160000	-235403.60296381149	302.44128257649913	634
3.4%	170000	-235013.92721307906	303.61154368169406	634
3.6%	180000	-234985.47706354293	302.4839777280445	634
3.8%	190000	-234881.74444330367	301.3222508599366	634
4.0%	200000	-235812.20132196578	302.73528394967326	634
4.2%	210000	-235187.505994207	302.94309781992666	634
4.4%	220000	-235153.9539464775	298.5023083001433	634
4.6%	230000	-234344.66036737594	299.63812175979575	634
4.8%	240000	-235864.83671320113	298.8084075437031	634
5.0%	250000	-235384.24575555953	302.61231251654016	633
5.2%	260000	-235495.68462885055	295.3432701180362	633
5.4%	270000	-235635.3618902031	302.3966834199457	632
5.6%	280000	-235408.9561742607	297.5044522096233	632
5.8%	290000	-234173.58227289352	303.1828260098371	632
6.0%	300000	-235232.84814203414	304.9611794877783	631
6.2%	310000	-234867.8364690605	298.3032722840326	632
6.4%	320000	-234943.65745294723	299.55416207178513	632
6.6%	330000	-235871.57555902633	302.98998072598516	632
6.8%	340000	-235780.22308099899	298.0733936173345	632
7.0%	350000	-235146.89123285445	302.77239579734686	631
7.2%	360000	-234903.34829462203	301.3284822741104	632
7.4%	370000	-235571.6435216728	298.5496917877947	631
7.6%	380000	-235013.93615472945	301.73018181412465	631
7.8%	390000	-235178.9800390068	301.9641590927767	631
8.0%	400000	-235570.5242589775	304.06298626761213	631
8.2%	410000	-234936.94276178512	298.76649747882453	631
8.4%	420000	-235482.3251775566	300.3407838552749	631
8.6%	430000	-235136.83176935348	298.62258593202347	630
8.8%	440000	-235241.3406804863	300.44844742655465	630
9.0%	450000	-235011.45751703414	299.1176835095266	630
9.2%	460000	-234773.38607538375	300.8128920363555	630
9.4%	470000	-235044.59423578414	300.4110829455621	630
9.6%	480000	-235485.70080316695	300.63437302600346	630
9.8%	490000	-234986.73399866256	301.89020089236783	630
10.0%	500000	-235380.4988530937	300.0171007361849	630
10.2%	510000	-234991.48147333297	300.7833494312593	629
10.4%	520000	-234832.74184930953	301.59081274594723	629
10.6%	530000	-235619.97366083297	298.1890243487278	628
10.8%	540000	-235472.70820367965	303.0774501030245	628
11.0%	550000	-235494.65853632125	297.9982025393782	628
11.2%	560000	-234752.5263646904	302.74801196542467	627
11.4%	570000	-235207.85473383102	298.11362593324304	627
11.6%	580000	-235319.00495660934	300.5453610729877	627
11.8%	590000	-235202.76751459274	300.4850024624391	627
12.0%	600000	-235344.12814844283	301.0193394171224	627
12.2%	610000	-235430.1065648857	300.3809048510753	627
12.4%	620000	-235933.89349115524	300.2731981943051	627
12.6%	630000	-235419.27094782027	304.87753925303804	627
12.8%	640000	-235127.9532445732	303.9377344198689	627
13.0%	650000	-234717.95233667525	300.22198656918863	627
13.2%	660000	-234766.68503320846	300.62315205237894	627
13.4%	670000	-234827.89053095016	301.45104725471157	627
13.6%	680000	-234940.85455072555	301.66918355413793	627
13.8%	690000	-235360.85355890426	296.9146808264698	627
14.0%	700000	-235654.12607324752	302.0067190210435	627
14.2%	710000	-235548.46278131637	301.1681731370997	627
14.4%	720000	-235303.67997491988	301.1682078490482	627
14.6%	730000	-235456.5913823906	300.5208537294924	626
14.8%	740000	-235873.47735345992	296.9950465265136	626
15.0%	750000	-235159.78841913375	300.4376438175799	626
15.2%	760000	-235650.74319208297	301.642910033687	626
15.4%	770000	-235323.45922601852	299.8128921992549	626
15.6%	780000	-235920.48470819625	304.3024828527999	626
15.8%	790000	-235223.21526849899	304.4362842948241	627
16.0%	800000	-235718.94051874313	301.0389451067063	627
16.2%	810000	-234878.09259546432	300.4550017905114	626
16.4%	820000	-233874.9967626396	300.7111053680962	626
16.6%	830000	-235853.99444330367	296.5491594684591	626
16.8%	840000	-235142.22108209762	296.5362683652806	626
17.0%	850000	-235155.69183099899	303.7959005537186	626
17.2%	860000	-235319.36510980758	297.50729604835396	626
17.4%	870000	-234975.22060907516	301.0149929680985	626
17.6%	880000	-235343.47451532516	298.542708336209	626
17.8%	890000	-235084.5249608818	300.05503298909355	626
18.0%	900000	-235305.07992304	300.99343650311823	627
18.2%	910000	-234375.1378377739	304.20949490540147	627
18.4%	920000	-234836.69505823287	304.61805240878704	627
18.6%	930000	-234959.22146356734	299.67426947240307	627
18.8%	940000	-234417.62727869186	301.87602495529876	627
19.0%	950000	-234898.65549982223	298.55768931403986	627
19.2%	960000	-235323.05833948287	297.49577528764894	627
19.4%	970000	-234792.10638178024	301.53033413859436	627
19.6%	980000	-235478.59783685836	300.48567569813656	627
19.8%	990000	-235263.21319330367	297.6419298910339	627
20.0%	1000000	-235250.9218419853	306.25107910784834	627
20.2%	1010000	-234358.91451776656	302.4318446988928	627
20.4%	1020000	-234667.4596685234	300.41301076544494	627
20.6%	1030000	-235779.9226964775	298.758800556716	627
20.8%	1040000	-235310.9691594902	299.0151622841785	627
21.0%	1050000	-235586.28049982223	300.21461017726904	627
21.2%	1060000	-235439.25591791305	300.5078880680485	627
21.4%	1070000	-235854.1592992607	302.7985846707894	627
21.6%	1080000	-235047.8311895195	305.14839568831616	627
21.8%	1090000	-234774.64984644088	300.35305920068015	627
22.0%	1100000	-234787.8999608818	298.3153042551011	627
22.2%	1110000	-234957.08764398727	304.28057279461945	627
22.4%	1120000	-235318.97271478805	300.97060434088576	627
22.6%	1130000	-235512.96447504195	299.6857847258134	627
22.8%	1140000	-235259.23486078414	300.8990344467368	627
23.0%	1150000	-235729.62395990524	299.79272590355674	627
23.2%	1160000	-235606.12966669234	299.574710704381	627
23.4%	1170000	-235367.05950678024	302.1288469248506	627
23.6%	1180000	-235113.51830042037	300.15615074094325	627
23.8%	1190000	-235488.28873956832	300.37163347863503	627
24.0%	1200000	-234168.5034765068	299.3154332450624	627
24.2%	1210000	-235784.63137567672	302.85161233820924	627
24.4%	1220000	-235796.59599054488	306.134594093411	627
24.6%	1230000	-235741.0423864189	302.9223503539327	627
24.8%	1240000	-235124.31944025191	298.936102083309	627
25.0%	1250000	-234958.76284540328	301.56866110967894	627
25.2%	1260000	-235049.4016393486	299.05887902376963	627
25.4%	1270000	-234843.19637811813	301.64860019487065	627
25.6%	1280000	-235433.09167230758	302.70172640899233	627
25.8%	1290000	-235151.28161371383	296.60383102165264	627
26.0%	1300000	-235778.38311517867	302.21692403942103	627
26.2%	1310000	-235677.66203058395	298.50098640559264	627
26.4%	1320000	-235656.22282159957	303.4628667740337	627
26.6%	1330000	-234398.06538141402	302.25038499168653	627
26.8%	1340000	-235188.7424367729	301.28545331918923	627
