#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
0.2%	10000	-257973.60304497718	302.7690848934721	0
0.4%	20000	-257871.3920922184	300.3062297767934	1.33e+03
0.6%	30000	-259048.23225640296	295.9016048422709	1.31e+03
0.8%	40000	-258766.68318413734	302.8041766742795	1.22e+03
1.0%	50000	-259068.42097710609	299.5690801435362	1e+03
1.2%	60000	-258365.60267876624	298.18245088434696	903
1.4%	70000	-259022.27272271155	301.30983803571553	846
1.6%	80000	-259165.71164940833	303.1329704781631	804
1.8%	90000	-258463.2316460514	303.5234685369216	777
2.0%	100000	-258666.52955864905	300.6529581865953	756
2.2%	110000	-258930.8313774967	302.64406251589133	742
2.4%	120000	-259180.27589653968	303.775252275775	731
2.6%	130000	-258195.39283989905	302.2309412050462	722
2.8%	140000	-259767.08680962562	302.52362470011445	714
3.0%	150000	-258886.12050103187	304.00187973131546	708
3.2%	160000	-258719.7970757389	297.51214593871345	703
3.4%	170000	-259470.2968010807	305.48497272905314	699
3.6%	180000	-259361.03512810706	299.92106800710155	694
3.8%	190000	-259585.51436089515	304.4109728433421	689
4.0%	200000	-258690.91392754554	304.32082100401146	686
4.2%	210000	-258801.82448052405	300.5543696748532	683
4.4%	220000	-258596.4944634342	303.2260859776762	680
4.6%	230000	-259247.51997612952	297.68770830945476	678
4.8%	240000	-258710.11201714515	303.99895746527756	676
5.0%	250000	-259071.43278740882	302.401698842253	674
5.2%	260000	-258593.1511406803	302.83317826306285	672
5.4%	270000	-259761.39381646155	301.45479460774436	671
5.6%	280000	-259380.52095269202	302.8288982639318	669
5.8%	290000	-259368.68571709632	299.8916011639737	667
6.0%	300000	-258914.5314507389	300.77848826236084	665
6.2%	310000	-258784.00886773109	300.92467140435235	664
6.4%	320000	-259434.56349419593	300.41358927863985	662
6.6%	330000	-259199.35823296546	299.03348542582756	661
6.8%	340000	-258218.48427056312	301.86446895084515	660
7.0%	350000	-259403.24617241859	298.8975178693088	659
7.2%	360000	-258942.31028985023	299.3306293387584	658
7.4%	370000	-259193.86201714515	295.3581456515565	658
7.6%	380000	-258368.47966240882	303.01532812918214	657
7.8%	390000	-258933.86744927405	298.71350351771787	656
8.0%	400000	-258533.60725640296	300.32748891112504	655
8.2%	410000	-259201.23933648109	303.80456256236636	654
8.4%	420000	-257922.09056328773	300.448936699136	654
8.6%	430000	-259722.3213372135	300.55400271861225	653
8.8%	440000	-259421.15065239905	300.7439084165899	652
9.0%	450000	-258653.27986382484	295.98839324744915	651
9.2%	460000	-259485.45717095374	298.40868387184884	651
9.4%	470000	-259342.69490288734	298.05851960435984	650
9.6%	480000	-258723.96719597816	298.915830218713	649
9.8%	490000	-259023.53526543616	299.4510886423236	649
10.0%	500000	-258670.95350884437	299.94559027765985	648
10.2%	510000	-259364.21705864905	299.91757654003214	648
10.4%	520000	-258979.44484185218	303.44445625162905	648
10.6%	530000	-259426.13038872718	301.2646457820208	647
10.8%	540000	-259465.36189507484	299.66352978357065	646
11.0%	550000	-259257.72377251624	301.49633335385437	646
11.2%	560000	-259333.85322808265	301.4695997797477	645
11.4%	570000	-258970.51033257484	300.3069821639291	644
11.6%	580000	-258622.87721489905	301.8451375227775	643
11.8%	590000	-258535.83156060218	298.00197936615905	643
12.0%	600000	-259163.65291069984	302.26054911506475	642
12.2%	610000	-259253.84907769202	297.72354409213096	642
12.4%	620000	-259224.6203179264	306.0144167376295	641
12.6%	630000	-259192.47416924476	301.9315340245987	641
12.8%	640000	-258918.1411003971	302.31072263564596	641
13.0%	650000	-259081.49818657874	300.8663123244365	641
13.2%	660000	-259316.4675469303	303.8095334255935	641
13.4%	670000	-259242.77046441077	296.6440999660104	640
13.6%	680000	-258996.96318291663	301.725845390667	640
13.8%	690000	-258905.76991509437	303.05781995128103	640
14.0%	700000	-258606.7814507389	299.77145442739845	639
14.2%	710000	-259305.93409966468	302.32098180221976	639
14.4%	720000	-259442.68571709632	300.55398642816556	639
14.6%	730000	-259310.37556694984	299.3263463056859	639
14.8%	740000	-259386.45186089515	303.73466454226764	638
15.0%	750000	-258648.62599419593	300.6502127214016	638
15.2%	760000	-258012.9929375553	299.79419064852516	638
15.4%	770000	-258908.09182976722	300.28112313300073	637
15.6%	780000	-259670.8976616764	301.3632320176803	637
15.8%	790000	-258831.7527031803	303.0724078327197	637
16.0%	800000	-258835.03236626624	302.2325756512688	637
16.2%	810000	-259517.59053277015	299.1759587088343	637
16.4%	820000	-258741.41241692542	302.4181586411864	637
16.6%	830000	-259632.72581719398	302.4552815301454	637
16.8%	840000	-259698.7384819889	304.1320097463835	637
17.0%	850000	-258693.64479302405	297.9043596102637	636
17.2%	860000	-258897.8080925846	301.2370244042284	636
17.4%	870000	-258292.8283257389	302.48973768329995	636
17.6%	880000	-257897.98054741859	302.1438865766956	636
17.8%	890000	-259156.7546563053	300.7038071011536	636
18.0%	900000	-259199.0470757389	297.79471858061453	635
18.2%	910000	-258933.80464409827	301.10865329501934	635
18.4%	920000	-258752.92976616859	300.0204288518579	635
18.6%	930000	-259127.65416192054	298.5948046245608	635
18.8%	940000	-259326.3181328678	300.5251759621774	635
19.0%	950000	-259296.83185051917	296.73931211603013	635
19.2%	960000	-259823.47065972327	304.54583718612497	635
19.4%	970000	-258255.38820122718	301.0102747857358	635
19.6%	980000	-258736.7658257389	300.0272134525597	635
19.8%	990000	-259599.58299492835	301.5170371246349	635
20.0%	1000000	-258787.6974663639	303.106706168167	635
20.2%	1010000	-259374.82820366859	299.94139048214157	635
20.4%	1020000	-258241.1892266178	301.6506066086881	635
20.6%	1030000	-259454.69539116859	301.22093388534256	635
20.8%	1040000	-258741.94789361	299.31657774126273	635
21.0%	1050000	-259061.10225152015	299.4970395786648	634
